Filter ID,Metric Category,Metric Name,Veneto Institute of Oncology,Cardiff University,King's College London,NCT Dresden,Qurit SERA,UPenn,LIFEx,UdeS
7.A,Statistics,Variance,1906.873504,,,1906.8704,1906.870394,,,
7.A,Statistics,Skewness,0.046942677,,,0.0469152639452696,0.046915414,,,
7.A,Statistics,(Excess) kurtosis,6.215525906,,,6.21555266962603,6.215552408,,,
7.A,Statistics,Median,0.067265091,,,0.06753935,0.067539904,,,
7.A,Statistics,Minimum,-348.836962,,,-348.83694,-348.8369751,,,
7.A,Statistics,10th percentile,-39.62659449,,,-39.6251384735107,-39.62597313,,,
7.A,Statistics,90th percentile,40.51851907,,,40.5180156707764,40.51830406,,,
7.A,Statistics,Maximum,352.2799035,,,352.2799,352.2799072,,,
7.A,Statistics,Interquartile range,28.76228202,,,28.7629585266113,28.76324654,,,
7.A,Statistics,Range,701.1168655,,,701.1168,701.1168823,,,
7.A,Statistics,Mean absolute deviation,26.94572201,,,26.945671,26.94567283,,,
7.A,Statistics,Robust mean absolute deviation,13.03736235,,,13.036761,13.03676157,,,
7.A,Statistics,Median absolute deviation,26.94511449,,,26.945065,26.94506496,,,
7.A,Statistics,Coefficient of variation,178.835336,,,178.48845,178.4884625,,,
7.A,Statistics,Quartile coefficient of dispersion,104.8422734,,,104.491982982026,104.4018789,,,
7.A,Statistics,Energy,238820491,,,238820130,238820130.5,,,
7.A,Statistics,Root mean square,43.66844544,,,43.6684122546754,43.66841249,,,
7.B,Diagnostic,Number of voxels in ROI before interpolation,,,,125256,125256,,,125256
7.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,357802,357802,,,357802
7.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,-46.407887,-46.407845,,,-46.4079
7.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,377,377,,,377
7.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,-997,-997,,,-997
7.B,Statistics,Mean,-0.040513007,,,-0.0406155,-0.040615506,,,-0.0406
7.B,Statistics,Variance,422.335733,,,422.43344,422.4334556,,,422.433
7.B,Statistics,Skewness,-0.011055745,,,-0.0111719419359682,-0.01117205,,,-0.0111
7.B,Statistics,(Excess) kurtosis,5.448049442,,,5.45215514672445,5.45215839,,,5.452
7.B,Statistics,Median,-0.015771741,,,-0.016351826,-0.016351826,,,-0.0163
7.B,Statistics,Minimum,-202.8320056,,,-202.82463,-202.8246307,,,-202.8246
7.B,Statistics,10th percentile,-20.56380201,,,-20.5643877029419,-20.56441765,,,-20.56438
7.B,Statistics,90th percentile,20.44898875,,,20.4447439193726,20.44505825,,,20.4447
7.B,Statistics,Maximum,200.7450633,,,200.77757,200.7775726,,,200.7775
7.B,Statistics,Interquartile range,16.28704845,,,16.2888839244843,16.28901577,,,16.28886
7.B,Statistics,Range,403.5770688,,,403.6022,403.6022034,,,403.602
7.B,Statistics,Mean absolute deviation,13.44477851,,,13.445974,13.44597361,,,13.44597
7.B,Statistics,Robust mean absolute deviation,7.202266394,,,7.2027335,7.202826487,,,7.2027
7.B,Statistics,Median absolute deviation,13.44475627,,,13.445952,13.4459525,,,13.4459
7.B,Statistics,Coefficient of variation,-507.2644561,,,-506.04294,-506.0428404,,,-506.04287
7.B,Statistics,Quartile coefficient of dispersion,-657.9739991,,,-694.194407470254,-692.7148883,,,-694.91897
7.B,Statistics,Energy,151113157.2,,,151148110,151148125.5,,,151148125.3503133
7.B,Statistics,Root mean square,20.55084851,,,20.5532252320538,20.55322615,,,20.553
8.A,Diagnostic,Number of voxels in ROI before interpolation,,,,125256,125256,,,
8.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,125238,125238,,,
8.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,-46.97564,-46.975639,,,
8.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,377,377,,,
8.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,-1000,-1000,,,
8.A,Statistics,Mean,0.239188983,,,0.247614409603721,0.247614391,,,
8.A,Statistics,Variance,1522.997594,,,1547.16580688109,1547.165857,,,
8.A,Statistics,Skewness,-0.047582441,,,-0.047334319969585,-0.047334336,,,
8.A,Statistics,(Excess) kurtosis,8.210168123,,,8.18927400503676,8.189273964,,,
8.A,Statistics,Median,-0.033883182,,,-0.0322713750129835,-0.032262238,,,
8.A,Statistics,Minimum,-392.7815481,,,-395.438766357496,-395.4387512,,,
8.A,Statistics,10th percentile,-33.22267197,,,-33.5269979200332,-33.52739449,,,
8.A,Statistics,90th percentile,34.04656187,,,34.3634329750859,34.36446877,,,
8.A,Statistics,Maximum,406.2140502,,,407.954523875239,407.9544678,,,
8.A,Statistics,Interquartile range,24.80532644,,,24.8221007440942,24.82260799,,,
8.A,Statistics,Range,798.9955982,,,803.393290232735,803.393219,,,
8.A,Statistics,Mean absolute deviation,23.42407961,,,23.576409560815,23.57640997,,,
8.A,Statistics,Robust mean absolute deviation,11.10150281,,,11.1308737938256,11.13087401,,,
8.A,Statistics,Median absolute deviation,23.42227088,,,23.5745295620895,23.57452998,,,
8.A,Statistics,Coefficient of variation,163.1580238,,,158.851937071633,158.8519519,,,
8.A,Statistics,Quartile coefficient of dispersion,-468.1422323,,,-426.567386318445,-424.7383528,,,
8.A,Statistics,Energy,190744337.7,,,193771630.026623,193771636.3,,,
8.A,Statistics,Root mean square,39.02633477,,,39.3348079921198,39.33480863,,,
8.B,Diagnostic,Number of voxels in ROI before interpolation,,,,125256,125256,,,
8.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,357802,357802,,,
8.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,-46.407887,-46.407845,,,
8.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,377,377,,,
8.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,-997,-997,,,
8.B,Statistics,Mean,0.291307471,,,0.320233251193446,0.320233255,,,
8.B,Statistics,Variance,1704.910169,,,1810.02087904295,1810.020878,,,
8.B,Statistics,Skewness,-0.078440325,,,-0.0719095855292795,-0.071909583,,,
8.B,Statistics,(Excess) kurtosis,7.792165148,,,7.64455025312084,7.644550254,,,
8.B,Statistics,Median,-0.012789198,,,-0.00178756160441118,-0.001787562,,,
8.B,Statistics,Minimum,-396.1352015,,,-411.430645164131,-411.4306335,,,
8.B,Statistics,10th percentile,-35.28200795,,,-36.6013691914269,-36.60165405,,,
8.B,Statistics,90th percentile,36.76887003,,,38.1414823138026,38.1432869,,,
8.B,Statistics,Maximum,372.618464,,,373.512073651897,373.512085,,,
8.B,Statistics,Interquartile range,24.88216242,,,25.4697791553223,25.46991062,,,
8.B,Statistics,Range,768.7536655,,,784.942718816028,784.9427185,,,
8.B,Statistics,Mean absolute deviation,24.5903015,,,25.3376678485689,25.33766785,,,
8.B,Statistics,Robust mean absolute deviation,11.36725143,,,11.6801634926746,11.68034302,,,
8.B,Statistics,Median absolute deviation,24.58817588,,,25.3351905533487,25.33519055,,,
8.B,Statistics,Coefficient of variation,141.7421863,,,132.854224207866,132.8542227,,,
8.B,Statistics,Quartile coefficient of dispersion,-980.6995461,,,1475.23963471371,1464.608555,,,
8.B,Statistics,Energy,610050631.4,,,647665782.920547,648000000,,,
8.B,Statistics,Root mean square,41.29158545,,,42.5455453411767,42.54554533,,,
9.A,Diagnostic,Number of voxels in ROI before interpolation,,,,125256,125256,,,
9.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,125238,125238,,,
9.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,-46.97564,-46.975639,,,
9.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,377,377,,,
9.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,-1000,-1000,,,
9.A,Statistics,Mean,2.036330608,,,2.07831534847172,2.078315415,,,
9.A,Statistics,Variance,4539.439879,,,4578.67910606666,4578.679235,,,
9.A,Statistics,Skewness,-0.05766754,,,-0.0596077394845828,-0.059607725,,,
9.A,Statistics,(Excess) kurtosis,6.129441618,,,6.10807944552409,6.108079452,,,
9.A,Statistics,Median,0.165413573,,,0.140280027261507,0.140269391,,,
9.A,Statistics,Minimum,-535.7904411,,,-534.461814326499,-534.461792,,,
9.A,Statistics,10th percentile,-58.92454727,,,-59.1847225863468,-59.18588257,,,
9.A,Statistics,90th percentile,71.05143825,,,71.5268269174106,71.52818146,,,
9.A,Statistics,Maximum,470.2476889,,,470.105110786342,470.1051331,,,
9.A,Statistics,Interquartile range,33.95461306,,,34.238622416068,34.23874283,,,
9.A,Statistics,Range,1006.03813,,,1004.56692511284,1004.566925,,,
9.A,Statistics,Mean absolute deviation,39.85515575,,,40.0711056508092,40.071106,,,
9.A,Statistics,Robust mean absolute deviation,17.49046683,,,17.6199341874566,17.61993415,,,
9.A,Statistics,Median absolute deviation,39.78436061,,,39.9968796911465,39.99688001,,,
9.A,Statistics,Coefficient of variation,33.08665365,,,32.5580704637449,32.55806987,,,
9.A,Statistics,Quartile coefficient of dispersion,47.51169537,,,46.9777994721947,46.97433952,,,
9.A,Statistics,Energy,569029688.7,,,573965566.237474,573965582.4,,,
9.A,Statistics,Root mean square,67.40613118,,,67.6978470909848,67.69784805,,,
9.B,Diagnostic,Number of voxels in ROI before interpolation,,,,125256,125256,,,
9.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,357802,357802,,,
9.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,-46.407887,-46.407845,,,
9.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,377,377,,,
9.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,-997,-997,,,
9.B,Statistics,Mean,2.567026436,,,2.67650565880452,2.676505654,,,
9.B,Statistics,Variance,5278.428965,,,5490.61884369934,5490.618843,,,
9.B,Statistics,Skewness,-0.069067788,,,-0.0858342568032938,-0.085834258,,,
9.B,Statistics,(Excess) kurtosis,5.723718718,,,5.57748249704611,5.577482496,,,
9.B,Statistics,Median,0.257477293,,,0.232728649422583,0.232728645,,,
9.B,Statistics,Minimum,-577.6085699,,,-604.876913217054,-604.8768921,,,
9.B,Statistics,10th percentile,-64.41362302,,,-65.9382522191696,-65.93883514,,,
9.B,Statistics,90th percentile,79.92711562,,,82.8523021957585,82.85344086,,,
9.B,Statistics,Maximum,451.428206,,,471.302247822368,471.3022461,,,
9.B,Statistics,Interquartile range,39.98519164,,,41.3688615847296,41.36904716,,,
9.B,Statistics,Range,1029.036776,,,1076.17916103942,1076.179138,,,
9.B,Statistics,Mean absolute deviation,43.99335626,,,45.1376077442495,45.13760774,,,
9.B,Statistics,Robust mean absolute deviation,20.23453632,,,20.9609015611437,20.96127709,,,
9.B,Statistics,Median absolute deviation,43.89975103,,,45.036518377444,45.03651838,,,
9.B,Statistics,Coefficient of variation,28.30231756,,,27.6848695953401,27.68486964,,,
9.B,Statistics,Quartile coefficient of dispersion,51.04424849,,,47.3905432338626,47.38768273,,,
9.B,Statistics,Energy,1890990221,,,1967117583.45407,1970000000,,,
9.B,Statistics,Root mean square,72.69813333,,,74.1470331587243,74.14703316,,,
10.A,Diagnostic,Number of voxels in ROI before interpolation,,,,,125256,,,
10.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,125238,,,
10.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-46.975639,,,
10.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,377,,,
10.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-1000,,,
10.A,Statistics,Mean,-0.14679175,,,,-0.097500398,,,
10.A,Statistics,Variance,606.7247647,,,,564.3930931,,,
10.A,Statistics,Skewness,-0.098129215,,,,-0.016117316,,,
10.A,Statistics,(Excess) kurtosis,9.451158136,,,,12.65046005,,,
10.A,Statistics,Median,0.012098083,,,,0.027818662,,,
10.A,Statistics,Minimum,-260.0774348,,,,-291.857666,,,
10.A,Statistics,10th percentile,-20.59519487,,,,-17.88680172,,,
10.A,Statistics,90th percentile,20.35149759,,,,17.97553215,,,
10.A,Statistics,Maximum,272.2029142,,,,262.8646851,,,
10.A,Statistics,Interquartile range,16.06516228,,,,12.63595533,,,
10.A,Statistics,Range,532.280349,,,,554.7223511,,,
10.A,Statistics,Mean absolute deviation,14.73246954,,,,13.23287666,,,
10.A,Statistics,Robust mean absolute deviation,7.084869735,,,,5.74290835,,,
10.A,Statistics,Median absolute deviation,14.73164647,,,,13.23216412,,,
10.A,Statistics,Coefficient of variation,-167.8008722,,,,-243.6601214,,,
10.A,Statistics,Quartile coefficient of dispersion,297.7316498,,,,341.3698713,,,
10.A,Statistics,Energy,75987694.69,,,,70684652.75,,,
10.A,Statistics,Root mean square,24.63222102,,,,23.75715891,,,
10.B,Diagnostic,Number of voxels in ROI before interpolation,,,,,125256,,,
10.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,357802,,,
10.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-46.407845,,,
10.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,377,,,
10.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-997,,,
10.B,Statistics,Mean,-0.161138621,,,,-0.165349993,,,
10.B,Statistics,Variance,548.0337655,,,,553.3743623,,,
10.B,Statistics,Skewness,-0.085741532,,,,-0.086528189,,,
10.B,Statistics,(Excess) kurtosis,9.673910483,,,,9.673795775,,,
10.B,Statistics,Median,0.015060288,,,,0.014685413,,,
10.B,Statistics,Minimum,-251.8331249,,,,-251.8701324,,,
10.B,Statistics,10th percentile,-19.4258853,,,,-19.53502331,,,
10.B,Statistics,90th percentile,19.14287614,,,,19.24178829,,,
10.B,Statistics,Maximum,240.37013,,,,240.3121033,,,
10.B,Statistics,Interquartile range,14.30825385,,,,14.29636908,,,
10.B,Statistics,Range,492.2032548,,,,492.1822357,,,
10.B,Statistics,Mean absolute deviation,13.75816858,,,,13.80561753,,,
10.B,Statistics,Robust mean absolute deviation,6.397489535,,,,6.399933779,,,
10.B,Statistics,Median absolute deviation,13.75691585,,,,13.80431711,,,
10.B,Statistics,Coefficient of variation,-145.2793924,,,,-142.2673812,,,
10.B,Statistics,Quartile coefficient of dispersion,1259.832011,,,,2243.968191,,,
10.B,Statistics,Energy,196096867.9,,,,198008236.1,,,
10.B,Statistics,Root mean square,23.41067558,,,,23.52449155,,,
11.A,Diagnostic,Number of voxels in ROI before interpolation,,,,,,,,
11.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,,,,
11.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,,,,
11.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,,,,
11.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,,,,
11.A,Statistics,Mean,,,,,,,,
11.A,Statistics,Variance,,,,,,,,
11.A,Statistics,Skewness,,,,,,,,
11.A,Statistics,(Excess) kurtosis,,,,,,,,
11.A,Statistics,Median,,,,,,,,
11.A,Statistics,Minimum,,,,,,,,
11.A,Statistics,10th percentile,,,,,,,,
11.A,Statistics,90th percentile,,,,,,,,
11.A,Statistics,Maximum,,,,,,,,
11.A,Statistics,Interquartile range,,,,,,,,
11.A,Statistics,Range,,,,,,,,
11.A,Statistics,Mean absolute deviation,,,,,,,,
11.A,Statistics,Robust mean absolute deviation,,,,,,,,
11.A,Statistics,Median absolute deviation,,,,,,,,
11.A,Statistics,Coefficient of variation,,,,,,,,
11.A,Statistics,Quartile coefficient of dispersion,,,,,,,,
11.A,Statistics,Energy,,,,,,,,
11.A,Statistics,Root mean square,,,,,,,,
11.B,Diagnostic,Number of voxels in ROI before interpolation,,,,,,,,
11.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,,,,
11.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,,,,
11.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,,,,
11.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,,,,
11.B,Statistics,Mean,,,,,,,,
11.B,Statistics,Variance,,,,,,,,
11.B,Statistics,Skewness,,,,,,,,
11.B,Statistics,(Excess) kurtosis,,,,,,,,
11.B,Statistics,Median,,,,,,,,
11.B,Statistics,Minimum,,,,,,,,
11.B,Statistics,10th percentile,,,,,,,,
11.B,Statistics,90th percentile,,,,,,,,
11.B,Statistics,Maximum,,,,,,,,
11.B,Statistics,Interquartile range,,,,,,,,
11.B,Statistics,Range,,,,,,,,
11.B,Statistics,Mean absolute deviation,,,,,,,,
11.B,Statistics,Robust mean absolute deviation,,,,,,,,
11.B,Statistics,Median absolute deviation,,,,,,,,
11.B,Statistics,Coefficient of variation,,,,,,,,
11.B,Statistics,Quartile coefficient of dispersion,,,,,,,,
11.B,Statistics,Energy,,,,,,,,
11.B,Statistics,Root mean square,,,,,,,,
