Filter ID,Metric Category,Metric Name,LIFEx,UdeS,Veneto Institute of Oncology - IOV IRCCS Padua,Cardiff University,NCT Dresden
8.B,Statistics,Median absolute deviation,,,25.21282359,,25.3351905533487
8.B,Statistics,Coefficient of variation,,,136.3609273,,132.854224207866
8.B,Statistics,Quartile coefficient of dispersion,,,3110.060817,,1475.23963471371
8.B,Statistics,Energy,,,640255665.4,,647665782.920547
8.B,Statistics,Root mean square,,,42.30145768,,42.5455453411767
9.A,Diagnostic,Number of voxels in ROI before interpolation,,,,,125256
9.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,125238
9.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-46.97564
9.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,377
9.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-1000
9.A,Statistics,Mean,,,2.07161416,,2.07831534847172
9.A,Statistics,Variance,,,4576.648359,,4578.67910606666
9.A,Statistics,Skewness,,,-0.063414829,,-0.0596077394845828
9.A,Statistics,(Excess) kurtosis,,,6.114174228,,6.10807944552409
9.A,Statistics,Median,,,0.096104807,,0.140280027261507
9.A,Statistics,Minimum,,,-534.5189972,,-534.461814326499
9.A,Statistics,10th percentile,,,-59.1901039,,-59.1847225863468
9.A,Statistics,90th percentile,,,71.4025577,,71.5268269174106
9.A,Statistics,Maximum,,,469.9871013,,470.105110786342
9.A,Statistics,Interquartile range,,,34.35741272,,34.238622416068
9.A,Statistics,Range,,,1004.506098,,1004.56692511284
9.A,Statistics,Mean absolute deviation,,,40.08220626,,40.0711056508092
9.A,Statistics,Robust mean absolute deviation,,,17.64419863,,17.6199341874566
9.A,Statistics,Median absolute deviation,,,40.0052352,,39.9968796911465
9.A,Statistics,Coefficient of variation,,,32.65614395,,32.5580704637449
9.A,Statistics,Quartile coefficient of dispersion,,,45.40813707,,46.9777994721947
9.A,Statistics,Energy,,,573707756.7,,573965566.237474
9.A,Statistics,Root mean square,,,67.68264138,,67.6978470909848
9.B,Diagnostic,Number of voxels in ROI before interpolation,,,,,125256
9.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,357802
9.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-46.407887
9.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,377
9.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-997
9.B,Statistics,Mean,,,2.641754901,,2.67650565880452
9.B,Statistics,Variance,,,5461.480708,,5490.61884369934
9.B,Statistics,Skewness,,,-0.090980963,,-0.0858342568032938
9.B,Statistics,(Excess) kurtosis,,,5.605640346,,5.57748249704611
9.B,Statistics,Median,,,0.317326959,,0.232728649422583
9.B,Statistics,Minimum,,,-599.9377523,,-604.876913217054
9.B,Statistics,10th percentile,,,-65.71537309,,-65.9382522191696
9.B,Statistics,90th percentile,,,82.29503228,,82.8523021957585
9.B,Statistics,Maximum,,,467.5787913,,471.302247822368
9.B,Statistics,Interquartile range,,,41.39799811,,41.3688615847296
9.B,Statistics,Range,,,1067.516544,,1076.17916103942
9.B,Statistics,Mean absolute deviation,,,44.99667075,,45.1376077442495
9.B,Statistics,Robust mean absolute deviation,,,20.8956048,,20.9609015611437
9.B,Statistics,Median absolute deviation,,,44.90540421,,45.036518377444
9.B,Statistics,Coefficient of variation,,,27.97452237,,27.6848695953401
9.B,Statistics,Quartile coefficient of dispersion,,,46.66690249,,47.3905432338626
9.B,Statistics,Energy,,,1956625774,,1967117583.45407
9.B,Statistics,Root mean square,,,73.94903364,,74.1470331587243
10.A,Diagnostic,Number of voxels in ROI before interpolation,,,,,
10.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,
10.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,
10.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,
10.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,
10.A,Statistics,Mean,,,-0.14841091,,
10.A,Statistics,Variance,,,611.3396808,,
10.A,Statistics,Skewness,,,-0.097549075,,
10.A,Statistics,(Excess) kurtosis,,,9.440716909,,
10.A,Statistics,Median,,,-0.001923937,,
10.A,Statistics,Minimum,,,-260.4578721,,
10.A,Statistics,10th percentile,,,-20.67607411,,
10.A,Statistics,90th percentile,,,20.39216544,,
10.A,Statistics,Maximum,,,272.6562766,,
10.A,Statistics,Interquartile range,,,16.05364191,,
10.A,Statistics,Range,,,533.1141488,,
10.A,Statistics,Mean absolute deviation,,,14.77486574,,
10.A,Statistics,Robust mean absolute deviation,,,7.090329334,,
10.A,Statistics,Median absolute deviation,,,14.77411588,,
10.A,Statistics,Coefficient of variation,,,-166.6001797,,
10.A,Statistics,Quartile coefficient of dispersion,,,292.1946475,,
10.A,Statistics,Energy,,,76565717.41,,
10.A,Statistics,Root mean square,,,24.72572965,,
10.B,Diagnostic,Number of voxels in ROI before interpolation,,,,,
10.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,
10.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,
10.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,
10.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,
10.B,Statistics,Mean,,,-0.161517985,,
10.B,Statistics,Variance,,,547.9739903,,
10.B,Statistics,Skewness,,,-0.08552706,,
10.B,Statistics,(Excess) kurtosis,,,9.675477555,,
10.B,Statistics,Median,,,0.012166267,,
10.B,Statistics,Minimum,,,-251.8631139,,
10.B,Statistics,10th percentile,,,-19.43169915,,
10.B,Statistics,90th percentile,,,19.13256506,,
10.B,Statistics,Maximum,,,239.924383,,
10.B,Statistics,Interquartile range,,,14.29209727,,
10.B,Statistics,Range,,,491.7874969,,
10.B,Statistics,Mean absolute deviation,,,13.7539383,,
10.B,Statistics,Robust mean absolute deviation,,,6.3923434,,
10.B,Statistics,Median absolute deviation,,,13.75272286,,
10.B,Statistics,Coefficient of variation,,,-144.9302642,,
10.B,Statistics,Quartile coefficient of dispersion,,,1430.703094,,
10.B,Statistics,Energy,,,196075524,,
10.B,Statistics,Root mean square,,,23.4094015,,
11.A,Diagnostic,Number of voxels in ROI before interpolation,,,,,
11.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,
11.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,
11.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,
11.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,
11.A,Statistics,Mean,,,,,
11.A,Statistics,Variance,,,,,
11.A,Statistics,Skewness,,,,,
11.A,Statistics,(Excess) kurtosis,,,,,
11.A,Statistics,Median,,,,,
11.A,Statistics,Minimum,,,,,
11.A,Statistics,10th percentile,,,,,
11.A,Statistics,90th percentile,,,,,
11.A,Statistics,Maximum,,,,,
11.A,Statistics,Interquartile range,,,,,
11.A,Statistics,Range,,,,,
11.A,Statistics,Mean absolute deviation,,,,,
11.A,Statistics,Robust mean absolute deviation,,,,,
11.A,Statistics,Median absolute deviation,,,,,
11.A,Statistics,Coefficient of variation,,,,,
11.A,Statistics,Quartile coefficient of dispersion,,,,,
11.A,Statistics,Energy,,,,,
11.A,Statistics,Root mean square,,,,,
11.B,Diagnostic,Number of voxels in ROI before interpolation,,,,,
11.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,
11.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,
11.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,
11.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,
11.B,Statistics,Mean,,,,,
11.B,Statistics,Variance,,,,,
11.B,Statistics,Skewness,,,,,
11.B,Statistics,(Excess) kurtosis,,,,,
11.B,Statistics,Median,,,,,
11.B,Statistics,Minimum,,,,,
11.B,Statistics,10th percentile,,,,,
11.B,Statistics,90th percentile,,,,,
11.B,Statistics,Maximum,,,,,
11.B,Statistics,Interquartile range,,,,,
11.B,Statistics,Range,,,,,
11.B,Statistics,Mean absolute deviation,,,,,
11.B,Statistics,Robust mean absolute deviation,,,,,
11.B,Statistics,Median absolute deviation,,,,,
11.B,Statistics,Coefficient of variation,,,,,
11.B,Statistics,Quartile coefficient of dispersion,,,,,
11.B,Statistics,Energy,,,,,
11.B,Statistics,Root mean square,,,,,
